feature_ID	mz	rtime
97.9916376_171.7145329	97.9916376	171.7145329
98.00838699_193.8782878	98.00838699	193.8782878
98.01389319_141.6452038	98.01389319	141.6452038
98.0163297_161.2463937	98.0163297	161.2463937
98.05796418_114.2000897	98.05796418	114.2000897
98.06039077_42.3364665	98.06039077	42.3364665
98.09675878_232.4157073	98.09675878	232.4157073
98.49414695_168.6297919	98.49414695	168.6297919
98.50580575_181.9903802	98.50580575	181.9903802
98.51228234_153.56116	98.51228234	153.56116
98.51879306_189.5870034	98.51879306	189.5870034
98.53045321_161.2215564	98.53045321	161.2215564
98.7742373_205.0508472	98.7742373	205.0508472
98.91914535_74.42923753	98.91914535	74.42923753
98.9616617_168.7868964	98.9616617	168.7868964
98.98447457_163.4205135	98.98447457	163.4205135
99.01088804_152.6015236	99.01088804	152.6015236
99.01398259_153.7059017	99.01398259	153.7059017
99.02008077_167.1644464	99.02008077	167.1644464
99.04436452_266.4497289	99.04436452	266.4497289
99.0620607_88.04135355	99.0620607	88.04135355
99.06239857_276.682485	99.06239857	276.682485
99.08066743_217.9897639	99.08066743	217.9897639
99.51249686_172.5306579	99.51249686	172.5306579
99.53140963_195.5780425	99.53140963	195.5780425
99.94829656_206.6181239	99.94829656	206.6181239
100.0113789_171.783326	100.0113789	171.783326
100.0141725_168.7151447	100.0141725	168.7151447
100.033086_166.523853	100.033086	166.523853
100.0395806_274.8359269	100.0395806	274.8359269
100.0759391_245.0393094	100.0759391	245.0393094
100.0840572_228.0636082	100.0840572	228.0636082
100.112337_154.1370516	100.112337	154.1370516
100.5102581_173.4254904	100.5102581	173.4254904
100.9172287_74.18276971	100.9172287	74.18276971
100.9324973_202.3992184	100.9324973	202.3992184
100.9570955_199.6148245	100.9570955	199.6148245
101.0116505_174.3772586	101.0116505	174.3772586
101.0600274_239.3883571	101.0600274	239.3883571
101.0712701_127.5787094	101.0712701	127.5787094
101.0793102_279.6913564	101.0793102	279.6913564
101.0793515_48.25850465	101.0793515	48.25850465
101.0850454_273.5782339	101.0850454	273.5782339
101.0875316_275.0170343	101.0875316	275.0170343
101.0963821_229.6084601	101.0963821	229.6084601
101.1076315_149.6775986	101.1076315	149.6775986
